title,price_idr,city,district,bedrooms,bathrooms,garage,land_size_m2,building_size_m2,scraped_at
Rumah Siap Huni 2 Lantai 5 Kamar Jalan 3 Mobil di Kelapa Gading,5000000000.0,Jakarta Utara,Kelapa Gading,6,4,2,261,365,2026-04-28T07:34:01.416555+00:00
Dijual Cepat Murah Bu Rumah Hoek SHM Jarang Ada Bebas Banjir di Kelapa Gading,5000000000.0,Jakarta Utara,Kelapa Gading,8,6,7,246,400,2026-04-28T07:34:06.948475+00:00
Jual Cepat Murah Rumah Bebas Banjir Jalan Lebar Deket Sekolah Di Kelapa Gading,4500000000.0,Jakarta Utara,Kelapa Gading,5,4,2,162,300,2026-04-28T07:34:09.685350+00:00
Dijual Rumah Tua Hitung Ex Resto Jalan Raya di Kelapa Gading,5000000000.0,Jakarta Utara,Kelapa Gading,5,4,,234,160,2026-04-28T07:34:11.785302+00:00
Rumah Shm Bagus 2 Lantai Janur Elok Kelapa Gading,4500000000.0,Jakarta Utara,Kelapa Gading,5,4,2,187,200,2026-04-28T07:34:14.660318+00:00
Jual Murah !!!! Rumah Kos 100% Baru !!!! 3 Lantai di Kelapa Gading,4000000000.0,Jakarta Utara,Kelapa Gading,16,17,2,120,250,2026-04-28T07:34:18.533308+00:00
Dijual rumah tua hitung tanah murah strategis di kelapa gading,4500000000.0,Jakarta Utara,Kelapa Gading,6,4,,270,400,2026-04-28T07:34:21.265755+00:00
Dijual rumah bagus di summagung3 kelapa gading,4200000000.0,Jakarta Utara,Kelapa Gading,4,4,,111,155,2026-04-28T07:34:24.482550+00:00
Rumah Baru Minimalis Modern Deket Sekolah Internasional Bebas Banjir di Kelapa Gading,4500000000.0,Jakarta Utara,Kelapa Gading,6,5,4,120,280,2026-04-28T07:34:28.456500+00:00
Kamal Tanah Bonus Rumah Luas Termurah Pinggir Jalan Harus Terjual,10000000000.0,Jakarta Utara,Kamal,7,6,16,1470,400,2026-04-28T07:34:32.552539+00:00
Dijual Golf Island Symphony Bagus Murah,9500000000.0,Jakarta Utara,Golf Island,5,5,4,240,435,2026-04-28T07:34:35.646752+00:00
Jual Cepat Murah Rumah Siapa Huni di Kelapa Gading,2550000000.0,Jakarta Utara,Kelapa Gading,3,1,,102,102,2026-04-28T07:34:39.366223+00:00
Jual Murah..... di Bawah NJOP.... Rumah5 Kamar di Kelapa Gading,3300000000.0,Jakarta Utara,Kelapa Gading,5,3,2,200,300,2026-04-28T07:34:42.694944+00:00
"Jual Cepat,, Rumah Baru Minimalis ,, Siap Huni ,, Bagus Rapi,, Bebas Banjir di Gading Arcadia Kelapa Gading",2900000000.0,Jakarta Utara,Kelapa Gading,3,3,2,90,120,2026-04-28T07:34:46.127948+00:00
"Jual Murah....Diskon Abis..Bu....Rumah 3 Lantai 4 Kamar Hanya 2,65M di Sunter Danau Indah",2650000000.0,Jakarta Utara,Sunter,4,3,2,98,121,2026-04-28T07:34:48.593122+00:00
Murah!! Dijual Rumah Brand New di Sunter Agung Tanjung Priok Jakarta Utara,2500000000.0,Jakarta Utara,Tanjung Priok,3,2,,50,60,2026-04-28T07:34:51.944114+00:00
Murah!!! Dijual Rumah Ggl Kelapa Gading,2200000000.0,Jakarta Utara,Kelapa Gading,4,3,1,90,108,2026-04-28T07:34:55.624352+00:00
Murah!! Jual Cepat Rumah Sunter Jaya,2100000000.0,Jakarta Utara,Sunter,4,3,1,100,100,2026-04-28T07:34:58.898399+00:00
Dijual Rumah Baru Kelapa Gading 2 Lantai Fullfurnish Siap Huni,2970000000.0,Jakarta Utara,Cilincing,4,3,2,120,120,2026-04-28T07:35:02.136502+00:00
MURAH !! DIJUAL RUMAH KELAPA PUAN DEKAT MKG  2 LANTAI SIAP HUNI,2600000000.0,Jakarta Utara,Kelapa Gading,3,3,1,102,102,2026-04-28T07:35:04.393193+00:00
Murah!!! Rumah Siap Huni 2 Lantai di Cilincing,2850000000.0,Jakarta Utara,Cilincing,3,2,,90,150,2026-04-28T07:35:07.030577+00:00
Dijual Rumah Siap Huni 2 Lantai Di Kelapa Gading Jakarta Utara,2100000000.0,Jakarta Utara,Kelapa Gading,3,2,1,91,80,2026-04-28T07:35:12.771697+00:00
"Dijual Rumah 2 Lantai Di.pademangan , Siap Huni, Shm,Bagus**Acin",7200000000.0,Jakarta Utara,Pademangan,4,4,1,243,300,2026-04-28T07:35:15.891718+00:00
Dijual Rumah Ruko Pinggir Jalan Muara Karang Hoek Ex Restoran,18000000000.0,Jakarta Utara,Muara Karang,,,,300,300,2026-04-28T07:35:19.098979+00:00
"Rumah Mewah di Kawasan Elit Bukit Golf Mediterania, Bg 663",35000000000.0,Jakarta Utara,Pantai Indah Kapuk,5,6,2,462,1120,2026-04-28T07:35:22.024323+00:00
Rumah 3 Lantai Siap Huni Jalan 3 Mobil di Kelapa Gading,3300000000.0,Jakarta Utara,Kelapa Gading,5,3,2,102,150,2026-04-28T07:35:24.522582+00:00
Murah!! Rumah Siap Huni 150M (10X15),1400000000.0,Jakarta Utara,Kelapa Gading,2,2,1,150,126,2026-04-28T07:35:27.650085+00:00
"Di Kelapa Gading,",3100000000.0,Jakarta Utara,Kelapa Gading,4,4,4,144,260,2026-04-28T07:35:30.971843+00:00
*Jual Cepat* Rumah Minimalis di Bcs Kelapa Gading,1550000000.0,Jakarta Utara,Kelapa Gading,3,2,1,60,80,2026-04-28T07:35:34.054283+00:00
"Jual Cepat Rumah Bagus 2,5 Lantai Full Furnished di Gading Griya",3100000000.0,Jakarta Utara,Cilincing,6,6,4,144,260,2026-04-28T07:35:36.274850+00:00
Termurah 900 Juta!! Tanah Siap Bangun di Gading Griya,900000000.0,Jakarta Utara,Kelapa Gading,,,,90,90,2026-04-28T07:35:38.910612+00:00
Dijual Rumah Dibawah Hrg Pasaran Di Pik 2,2400000000.0,Jakarta Utara,Pantai Indah Kapuk 2,4,4,2,75,98,2026-04-28T07:35:41.238071+00:00
Dijual rumah 2.5 lt di Villa Gading Indah - klp gdg,14500000000.0,Jakarta Utara,Kelapa Gading,8,8,3,386,800,2026-04-28T07:35:44.737715+00:00
Rumah baru murah 2 lantai kelapa gading,3500000000.0,Jakarta Utara,Kelapa Gading,4,3,2,120,150,2026-04-28T07:35:47.790618+00:00
Rumah Bagus Murah Siap Huni Furnish Kelapa Gading,2300000000.0,Jakarta Utara,Kelapa Gading,6,3,2,105,130,2026-04-28T07:35:50.584070+00:00
"Dijual Rumah Hoek, di Pelangi Raya Gading Residence, Kelapa Gading, Jakarta Utara",11500000000.0,Jakarta Utara,Kelapa Gading,7,5,,253,253,2026-04-28T07:35:54.614329+00:00
Dijual Rumah di Lilin Raya,4000000000.0,Jakarta Utara,Kelapa Gading,14,5,1,160,280,2026-04-28T07:35:57.746257+00:00
Rumah Muara Karang 8x15 2.5 Lantai Utara,4000000000.0,Jakarta Utara,Muara Karang,5,2,1,120,250,2026-04-28T07:36:01.979914+00:00
Rumah Pik Bgm Hoek Lokasi Bagus dan Murah,5950000000.0,Jakarta Utara,Pantai Indah Kapuk,4,4,3,197,150,2026-04-28T07:36:06.058057+00:00
Rumah Golf Island Pik 8X25 Full Interior Full Furnish,8400000000.0,Jakarta Utara,Golf Island,4,4,2,200,300,2026-04-28T07:36:09.392619+00:00
Rumah Tua Hitung Tanah Pik Pinisi Lokasi Bagus Jalan 3 Mobil,13400000000.0,Jakarta Utara,Pantai Indah Kapuk,1,1,,536,450,2026-04-28T07:36:13.162984+00:00
"Jual Rumah 3lantai di Bukit Gading Mediterania, Kelapa Gading, Jakarta Utara, Jakarta Utara",6500000000.0,Jakarta Utara,Kelapa Gading,4,4,3,198,400,2026-04-28T07:36:21.006123+00:00
"Dijual Rumah Gading Kirana, Siap Huni, di Kelapa Gading, Jakarta Utara",5250000000.0,Jakarta Utara,Kelapa Gading,6,4,1,153,252,2026-04-28T07:36:24.432791+00:00
"Rumah Golf Island Pik, Uk 8X15, Siap Huni",3900000000.0,Jakarta Utara,Golf Island,3,3,,120,125,2026-04-28T07:36:27.248527+00:00
Rumah Muara Karang 4 Lantai Bangunan Bagus SHM,3100000000.0,Jakarta Utara,Muara Karang,4,5,2,75,200,2026-04-28T07:36:31.036995+00:00
"Termurah, Rumah Muara Karang 8x15, Hitung Tanah",2500000000.0,Jakarta Utara,Muara Karang,2,2,,120,100,2026-04-28T07:36:33.567729+00:00
"Bebas Banjir, Rumah, 2 Lantai, SHM, bisa KPR",5000000000.0,Jakarta Utara,Pantai Indah Kapuk,4,3,4,184,280,2026-04-28T07:36:36.717204+00:00
"Dijual Rumah Mewah 5br, 529 M2, 2,5 Lt di Pantai Mutiara",17500000000.0,Jakarta Utara,Pantai Mutiara,5,7,,529,828,2026-04-28T07:36:39.536689+00:00
"Dijual Rumah Gandeng di Gading elok, Jakarta Utara",3800000000.0,Jakarta Utara,Kelapa Gading,10,4,,180,120,2026-04-28T07:36:42.264865+00:00
"Dijual Rumah di Walikota, Kelapa Gading, Jakarta Utara",5900000000.0,Jakarta Utara,Kelapa Gading,8,4,,304,300,2026-04-28T07:36:44.757746+00:00
"Dijual Rumah Standar di Cengkir Barat, Kelapa Gading, Jakarta Utara",2000000000.0,Jakarta Utara,Kelapa Gading,3,,,102,102,2026-04-28T07:36:47.942452+00:00
Dijual Rumah Hitung Tanah di Kelapa Lilin Raya Kelapa Gading,3300000000.0,Jakarta Utara,Kelapa Gading,4,3,2,160,100,2026-04-28T07:36:51.403978+00:00
Rumah Pluit Utara Raya Hitung Tanah Cocok untuk Resto dan Kantor,23000000000.0,Jakarta Utara,Pluit,1,1,,525,600,2026-04-28T07:36:54.756352+00:00
"Rumah KPR 3,5Lt Gunung Sahari Dekat Mangga Besar,Sunter,Kelapa Gading,Salemba",1650000000.0,Jakarta Utara,Sunter,3,3,1,56,164,2026-04-28T07:36:58.412442+00:00
Dijual Rumah Pik 8X23 Kondisi Rapi Siap Huni Harga Nego,5500000000.0,Jakarta Utara,Pantai Indah Kapuk,4,4,,184,208,2026-04-28T07:37:01.579635+00:00
Rumah Pik Walet Permai 7X25 Rapi. Siap Huni. Hadap Selatan. Nego,4900000000.0,Jakarta Utara,Pantai Indah Kapuk,4,3,,175,260,2026-04-28T07:37:05.355553+00:00
Rumah Pik 2 Denver 6X12.5 Hadap Taman,2250000000.0,Jakarta Utara,Pantai Indah Kapuk 2,3,2,,75,85,2026-04-28T07:37:08.304858+00:00
Dijual Rumah Pik Garden House Hoek 11.5X17 Harga Nego,9500000000.0,Jakarta Utara,Pantai Indah Kapuk,4,3,,195,300,2026-04-28T07:37:11.708361+00:00
Dijual Rumah di Pluit Putra Dalam 10X20 Harga Nego,7500000000.0,Jakarta Utara,Pluit,3,4,,200,300,2026-04-28T07:37:15.308563+00:00
Rumah Camar Elok - Pantai Indah Kapuk. Harga Nego.,4300000000.0,Jakarta Utara,Pantai Indah Kapuk,4,4,,168,240,2026-04-28T07:37:17.544354+00:00
Dijual Murah Rumah Uk. 6X10 Milenial City Pik 2 Extension Kosongan,1400000000.0,Jakarta Utara,Pantai Indah Kapuk 2,3,3,1,60,73,2026-04-28T07:37:19.941514+00:00
