title,price_idr,city,district,bedrooms,bathrooms,garage,land_size_m2,building_size_m2,scraped_at
Rumah Depan Taman Pulau Sepa Permata Buana Bebas Banjir Lokas Ibagus Jakarta Barat,7600000000.0,Jakarta Barat,Permata Buana,5,4,3,250,350,2026-04-28T04:33:59.779672+00:00
Dijual Cepat - Rumah Siap Huni Premium Riviera Metland Puri,5250000000.0,Jakarta Barat,Metland Puri,4,4,1,150,150,2026-04-28T04:34:02.278910+00:00
Rumah Murah Minimalis Fully Furnished Puri Indah Kembangan Jakarta Barat,5500000000.0,Jakarta Barat,Puri Indah,4,5,1,140,210,2026-04-28T04:34:05.217383+00:00
Dijual Cepat.rumah Golf Lake Residence Uk 8X15,3300000000.0,Jakarta Barat,Cengkareng,4,4,1,120,136,2026-04-28T04:34:06.985091+00:00
Dijual Rumah Cantik Full Furnish The Riviera At Puri Metland,7000000000.0,Jakarta Barat,Metland Puri,3,4,2,144,180,2026-04-28T04:34:09.155673+00:00
"Murah !!! Dapatkan Rumah Bagus Uk.5x20, 3Lantai (Ss-043)",2350000000.0,Jakarta Barat,Tanjung Duren,5,4,1,102,216,2026-04-28T04:34:11.800031+00:00
Rumah Pinggir Jalan Puri Indah Kembangan Jakarta Barat,9200000000.0,Jakarta Barat,Puri Indah,6,4,4,336,320,2026-04-28T04:34:15.462938+00:00
Di Jual Rumah dan Taman di Permata Buana Kembangan Jakarta Barat,13500000000.0,Jakarta Barat,Permata Buana,4,4,4,444,300,2026-04-28T04:34:18.064236+00:00
Rumah Bagus Semi Furnish 2 Lantai di Jelambar Murahhhhhh,4750000000.0,Jakarta Barat,Jelambar,5,4,2,217,320,2026-04-28T04:34:25.021895+00:00
Rumah Siap Huni 5X20 Lokasi Strategis di Duri Kepa(Dk266a),2350000000.0,Jakarta Barat,Duri Kepa,4,3,,100,216,2026-04-28T04:34:26.609274+00:00
Rumah.baru 6X20 Metland Puri. Metland Puri. Jakarta Barat,3200000000.0,Jakarta Barat,Metland Puri,5,4,2,120,180,2026-04-28T04:34:29.180836+00:00
Dijual Rumah Taman Villa Meruya Kondisi Bagus Dan Rapi Hadap Selatan Area Jakarta Barat,3400000.0,Jakarta Barat,Villa Meruya,4,3,2,162,250,2026-04-28T04:34:31.503435+00:00
Dijual Cepat Rumah Area @Puri Indah Jakarta Barat,18600000.0,Jakarta Barat,Puri Indah,6,5,3,482,452,2026-04-28T04:34:34.793696+00:00
Rumah Second Rasa Brand New Tanjung Duren Jakarta Barat,2150000.0,Jakarta Barat,Tanjung Duren,5,3,,56,125,2026-04-28T04:34:37.926552+00:00
Dijual Rumah Brandnew Minimalis di Kavling Dki Area Jakarta Barat Bebas Banjir Ukuran 125 M 3 Kamar Tidur Harga 2M An,2450000.0,Jakarta Barat,Kav DKI,3,3,2,125,144,2026-04-28T04:34:40.257246+00:00
Jual Rumah Baru 2 Lantai Cengkareng Barat SHM,1850000.0,Jakarta Barat,Cengkareng Barat,3,3,1,70,100,2026-04-28T04:34:43.262223+00:00
Rumah di Jual Tomang Jakarta Barat,3300000.0,Jakarta Barat,Tomang,4,3,1,90,210,2026-04-28T04:34:45.967554+00:00
Rumah Jakarta Barat The Forestine Citra 8,2600000000.0,Jakarta Barat,Cengkareng Barat,4,4,2,84,103,2026-04-28T04:34:47.981760+00:00
Dijual Rumah Lokasi Strategis Di Pusat Kota Mangga Besar Jakarta Barat,1800000000.0,Jakarta Barat,Mangga Besar,,1,,120,120,2026-04-28T04:34:54.861347+00:00
Dijual Rumah Siap Huni di Taman Aries Meruya Jakarta Barat,3500000000.0,Jakarta Barat,Meruya,5,3,2,150,180,2026-04-28T04:34:57.766659+00:00
"Puri Kencana Blok K,Jln.lebar, Dkt Akses Tol",6000000000.0,Jakarta Barat,Puri Indah,3,2,2,162,200,2026-04-28T04:35:01.072751+00:00
"Dream Home Alert Rumah 3,5 Lantai Private Pool di Puri Mansion Bangunan Baru Premium & Eksklusif",14900000000.0,Jakarta Barat,Puri Indah,5,3,2,300,400,2026-04-28T04:35:04.739645+00:00
Bayar Tanah Saja Bonus Rumah Mewah 2 Lantai SHM Hook di Green Garden - Super Worth It Bebas Banjir,11000000000.0,Jakarta Barat,Kebon Jeruk,8,8,2,600,500,2026-04-28T04:35:08.539357+00:00
"Move In Ready! Rumah SHM Full Renov di Citra Garden 2, Deal Cepat Harga Nego",4750000000.0,Jakarta Barat,Citra Garden,5,2,2,210,122,2026-04-28T04:35:12.657261+00:00
"Rumah 8X15 SHM 2.5 Lantai di Kosambi Baru, Duri Kosambi",1900000000.0,Jakarta Barat,Duri Kosambi,4,3,2,120,180,2026-04-28T04:35:15.207853+00:00
Rumah Hitung Tanah 12X25 di Intercon Kebon Jeruk,7600000000.0,Jakarta Barat,Intercon,4,3,2,300,240,2026-04-28T04:35:18.934641+00:00
Rumah Tua Hitung Tanah 120M2 Duri Kosambi,1450000000.0,Jakarta Barat,Duri Kosambi,4,3,1,120,120,2026-04-28T04:35:22.529827+00:00
"Passive Income Elit: Kost 20 Kamar Dekat Binus, Full Tenant!",10000000000.0,Jakarta Barat,Kebon Jeruk,21,13,2,300,540,2026-04-28T04:35:25.809551+00:00
"Rumah Kos 63 Kamar Occ 90%,Di Tanjung Duren Jakarta Barat S8972",12000000000.0,Jakarta Barat,Tanjung Duren,64,64,,284,1000,2026-04-28T04:35:32.247069+00:00
Rumah Dijual Siap Huni Green Garden - LT 300m2 Security 24 Jam,6500000000.0,Jakarta Barat,Green garden,5,5,3,300,600,2026-04-28T04:35:35.120115+00:00
"Dijual Termurah Butuh Cepat Rumah Gandeng Hook ( 12X36 ) Kosambi Baru - Duri Kosambi, Cengkareng",3300000000.0,Jakarta Barat,Cengkareng,4,3,5,432,468,2026-04-28T04:35:37.658622+00:00
Rumah Baru Siap Huni Metland Puri Bonus Melimpah Dekat Akses Toll Fasilitas Kota Mandiri,2250000000.0,Jakarta Barat,Metland Puri,3,2,2,87,89,2026-04-28T04:35:41.416353+00:00
Rumah Siap Huni di Komplek Puri Gardena Kalideres Jakbar.jah,1150000000.0,Jakarta Barat,Kalideres,2,2,1,67,80,2026-04-28T04:35:46.112102+00:00
Rumah Mewah Harga Miring Permata Buana Lt 1001mtr Langka Permata Buana Jakarta Barat,35800000000.0,Jakarta Barat,Permata Buana,9,7,14,1001,850,2026-04-28T04:35:49.985791+00:00
"Dijual Perumahan Jelambar, Dibawah N J O P",3900000000.0,Jakarta Barat,Grogol Petamburan,5,4,,221,321,2026-04-28T04:35:52.866095+00:00
"Dijual Rumah 2,5 LT 8 X 18 M2 di Taman Kencana LT 144 M2 LB 256 M2 SHM Hadap Barat Ad 4 KT 4 KM Unfurnished, Siap Huni, Carport 2 Mobil, Ayo Survei, Nego Yuk!!!",2480000000.0,Jakarta Barat,Taman Kencana,4,4,2,144,256,2026-04-28T04:35:56.799019+00:00
"Kos-Kosan di Jl Anggrek Garuda, Slipi, Jakarta Barat",14900000000.0,Jakarta Barat,Slipi,18,9,4,367,600,2026-04-28T04:35:59.446163+00:00
"Rumah Bagus 200 Sqm HGB di Perumahan Citra 2 Extention, Kalideres, Kota Jakarta Barat Citra Garde",5200000000.0,Jakarta Barat,Citra Garden,6,6,3,200,465,2026-04-28T04:36:02.122036+00:00
Rumah3 Lanta Meruya Ilir Jakarta Barat,4500000000.0,Jakarta Barat,Meruya,4,4,1,128,384,2026-04-28T04:36:05.849096+00:00
"Rumah 2 Lantai Puri Kencana Rapih Hadap Selatan, Jakarta Barat",6300000000.0,Jakarta Barat,Puri Indah,4,,,180,270,2026-04-28T04:36:08.540570+00:00
"Rumah 2 Lantai Bagus Unfurnished SHM di Tosiga,kb. Jeruk Jakarta Barat",10000000000.0,Jakarta Barat,Kebon Jeruk,5,5,8,405,500,2026-04-28T04:36:12.073309+00:00
"Rumah Taman Alfa Indah Bagus Hook Siap Huni Joglo, Jakarta Barat",5950000000.0,Jakarta Barat,Alfa Indah,6,4,3,345,400,2026-04-28T04:36:14.024769+00:00
Dijual Cepat Harga Nego Rumah Rapi ( 8X15 ) Mutiara Taman Palem - Cengkareng,2200000000.0,Jakarta Barat,Taman Palem,4,3,2,120,192,2026-04-28T04:36:16.605458+00:00
Dijual Perumahan Daan Mogot Baru. Komplek Kintamani,3000000000.0,Jakarta Barat,Kalideres,5,5,1,120,180,2026-04-28T04:36:19.871015+00:00
Turun Harga Rumah Tua Hitung Tanah Duri Kepa Kebun Jeruk,2150000000.0,Jakarta Barat,Duri Kepa,4,3,2,150,90,2026-04-28T04:36:23.373879+00:00
Rumah Baru. Tanjung Duren. 3 Lantai. 4X11. Masuk Mobil. Siap Huni,1350000000.0,Jakarta Barat,Tanjung Duren,4,4,1,46,120,2026-04-28T04:36:26.356097+00:00
Rumah Green Garden Siap Huni Jalan Boulevard Luas Tanah 450M2,9000000000.0,Jakarta Barat,Green garden,6,6,4,450,575,2026-04-28T04:36:31.116458+00:00
Rumah 3 Lantai Siap Huni Jalan Thalib Krukut Hadap Utara - 203M2,5100000000.0,Jakarta Barat,Tamansari,7,4,3,203,408,2026-04-28T04:36:39.116568+00:00
Rumah Dijual Daan Mogot Baru Cluster Taman Ubud - Luas 200M2,4500000000.0,Jakarta Barat,Daan Mogot,5,4,3,200,335,2026-04-28T04:36:42.840935+00:00
Rumah Hook Hitung Tanah Dijual Taman Meruya Ilir - Luas 255M2,3830000000.0,Jakarta Barat,Taman Meruya,4,3,2,255,125,2026-04-28T04:36:46.750021+00:00
Rumah Hook Super Adem Dijual Puri Indah Dalam Cluster - LT 532m2,13800000000.0,Jakarta Barat,Puri Indah,4,3,6,532,203,2026-04-28T04:36:50.745226+00:00
Rumah Luas Harga 1M An Dekat Mall Centrak Park Tanjung Duren Jakarta Barat,1600000000.0,Jakarta Barat,Tanjung Duren,4,2,1,63,100,2026-04-28T04:36:55.645760+00:00
Dijual Cepat Rumah Pinggir Jalan Raya Tanah Sereal,12900000000.0,Jakarta Barat,Tambora,5,5,4,310,770,2026-04-28T04:37:00.452079+00:00
Rumah Cantik Terawat 4 Kamar Hadap Barat Semi Furnish Puri Media Jakarta Barat bisa KPR,7000000000.0,Jakarta Barat,Puri Media,5,5,2,220,450,2026-04-28T04:37:03.780226+00:00
"Rumah Bagus SHM Duri Kosambi, Jakarta Barat",1000000000.0,Jakarta Barat,Duri Kosambi,2,2,,60,100,2026-04-28T04:37:08.024382+00:00
"Rumah Baru Minimalis Cluster Puri Kencana, Jakarta Barat Marmer Dan Granit, Putih, Luas",11000000000.0,Jakarta Barat,Puri Indah,5,5,4,200,500,2026-04-28T04:37:11.322235+00:00
Jual Cepat Termurah Bojong Indah Jakarta Barat Dekat Puri Indah,1700000000.0,Jakarta Barat,Bojong Indah,5,2,1,102,204,2026-04-28T04:37:14.058692+00:00
Rumah Ada Rooftop di Bojong Indah Jakarta Barat Dekat Puri Indah,2300000000.0,Jakarta Barat,Bojong Indah,4,2,1,120,180,2026-04-28T04:37:18.442152+00:00
Rumah Plong Bojong Indah Bambu Wulung Jakarta Barat Dekat Puri Indah,2800000000.0,Jakarta Barat,Bojong Indah,2,2,2,200,400,2026-04-28T04:37:22.488455+00:00
"Rumah, SHM, di Citra Garden, Jakarta Barat",1900000000.0,Jakarta Barat,Citra Garden,4,1,1,150,120,2026-04-28T04:37:25.662286+00:00
Rumah.cluster Panggang Premium Permata Buana Jakarta Barat,8000000000.0,Jakarta Barat,Permata Buana,4,3,2,180,275,2026-04-28T04:37:29.273242+00:00
"Hanura, Tanah Sereal, Jakarta Barat",2750000000.0,Jakarta Barat,Tambora,,,,180,150,2026-04-28T04:37:32.924535+00:00
"Pasti Cuan, Casa Varya, Rumah 2 Lantai, Gaya Eropa 13jt Per M",2190000000.0,Jakarta Barat,Kalideres,2,2,1,105,140,2026-04-28T04:37:36.760977+00:00
"Dijual Rumah 3 LT Termurah!!! 4,5 X 12,5 M2 di Tanjung Duren Dekat Cp Mall, Sekolah Bpk Penabur, Kampus Trisakti. SHM Selatan Semi Furniture, Row Jln 2 Mobil!! Survei Yuk!",2200000000.0,Jakarta Barat,Tanjung Duren,5,3,2,56,56,2026-04-28T04:37:40.065004+00:00
Rumah Mewah Siap Huni Dijual Green Garden Semi Furnished - 340M2,17000000000.0,Jakarta Barat,Green garden,6,6,4,340,1000,2026-04-28T04:37:42.866898+00:00
Rumah Harga 1 M-An Dekat Daan Mogot Jakarta Barat,1070000000.0000001,Jakarta Barat,Taman Palem,2,1,2,26,52,2026-04-28T04:37:47.236591+00:00
For Sale Townhouse Solite Taman Permata Buana Jakarta Barat,3100000000.0,Jakarta Barat,Kembangan,5,4,7,60,130,2026-04-28T04:37:50.271097+00:00
"Rumah Cantik 2,5 Lantai Komplek Cantiga Duri Kosambi Siap Huni",2600000000.0,Jakarta Barat,Duri Kosambi,6,7,1,174,136,2026-04-28T04:37:57.774647+00:00
Dijual Cepat Rumah Green Garden 15X30 Jakbar,9000000000.0,Jakarta Barat,Green garden,6,6,3,450,450,2026-04-28T04:38:01.594234+00:00
"Termurah! Rumah Dekat Season City 4 Lantai Luas 127M Cocok Buat Konveksi,Kosan atau Tempat Tinggal Jual Murah Cash Keras",1500000000.0,Jakarta Barat,Grogol,3,3,2,127,300,2026-04-28T04:38:05.485454+00:00
Dijual Cepat Rumah di Jl. Pepaya,1500000000.0,Jakarta Barat,Cengkareng,2,3,,60,128,2026-04-28T04:38:08.439229+00:00
Dijual Rumah Citra 1 Extension,2200000000.0,Jakarta Barat,Citra Garden,3,3,1,160,180,2026-04-28T04:38:12.643510+00:00
Rumah 2 Lantai di Puri Kencana Lingkungan Tenang dan Nyaman,5900000000.0,Jakarta Barat,Puri Indah,3,2,2,162,250,2026-04-28T04:38:16.877374+00:00
Rumah Nyaman 2 Lantai di Puri Lokasi Favorite Tenang dan Nyaman,9500000000.0,Jakarta Barat,Puri Indah,3,3,2,200,350,2026-04-28T04:38:20.803088+00:00
Rumah Brand New Minimalis Dalam Kompleks Bagus,3300000000.0,Jakarta Barat,Villa Meruya,3,3,1,126,180,2026-04-28T04:38:23.528352+00:00
Termurah !! Rumah Amerika Latin Uk6x18 Shm.green Lake City,2750000000.0,Jakarta Barat,Green Lake City,4,4,2,108,127,2026-04-28T04:38:26.895757+00:00
"Dijual Rumah Nyaman, Siap Huni, Strategis, Grogol, Jakarta Barat",3300000000.0,Jakarta Barat,Grogol,5,4,3,200,320,2026-04-28T04:38:29.463013+00:00
Rumah Cck Kantor di Jl Olahraga di Kemanggisan,6950000000.0,Jakarta Barat,Kemanggisan,7,7,9,763,1256,2026-04-28T04:38:32.693001+00:00
"Turun Harga!!!! For Sale Rumah Strategis di Kawasan Grogol Jakarta Barat Cocok untuk Hunian Pribadi Kos-Kosan,Kantor, Ataupun Tempat Usaha. Kemudahan Akses, Dekat dengan Sekolah, Universitas, Pusat Perbelanjaan, dan Transportasi Umum.",12000000000.0,Jakarta Barat,Grogol Petamburan,6,7,2,405,47,2026-04-28T04:38:36.349379+00:00
Rumah Permata Mediterania Di Boulevard Dg Fasilitas Olahraga Lengkap,5600000000.0,Jakarta Barat,Pos Pengumben,5,4,2,188,268,2026-04-28T04:38:40.619730+00:00
Dijual Rumah di Greenlake City 10X 20 Boulevard,5600000000.0,Jakarta Barat,Green Lake City,4,3,2,200,400,2026-04-28T04:38:43.613948+00:00
Dijual Rumah 2 LT Terawat Lokasi Bagus Kedoya Jakbar,4600000000.0,Jakarta Barat,Kedoya,4,3,4,200,250,2026-04-28T04:38:46.529989+00:00
Rumah Dijual Dekat Sekolah Duri Utara Tambora - LT 63M2,2950000000.0,Jakarta Barat,Jembatan Lima,5,5,2,63,160,2026-04-28T04:38:49.757594+00:00
Rumah 2 Lantai Permata Mediterania Bebas Banjir,4500000000.0,Jakarta Barat,Srengseng,3,2,2,162,180,2026-04-28T04:38:53.982532+00:00
"Dijual Rumah 2Lt di Puri Indah, Luas Tanah 450M2, Harga Rp 13.5M.",13500000000.0,Jakarta Barat,Puri Indah,4,3,4,450,422,2026-04-28T04:38:56.113474+00:00
"Dijual Rumah Mewah 15X10 M² di Komplek Perumahan Sunrise Garden Kedoya, Kebon Jeruk Jakarta Barat",5800000000.0,Jakarta Barat,Kedoya,4,3,,150,235,2026-04-28T04:38:59.215833+00:00
"Dijual Rumah 1,5 Lantai 5,5 X 12 M² di Tanjung Duren Jakarta Barat",1200000000.0,Jakarta Barat,Tanjung Duren,3,2,,66,66,2026-04-28T04:39:01.672107+00:00
"Dijual Rumah Cluster di Duri Kepa Uk 5.5X11.6m2, 3Lt Harga Promo Rp 2.3M.",2300000000.0,Jakarta Barat,Duri Kepa,5,4,2,64,181,2026-04-28T04:39:07.715930+00:00
Rumah Hook Hitung Tanah di Lokasi Strategis Taman Cosmos Kedoya,4500000000.0,Jakarta Barat,Kedoya Utara,4,3,2,220,180,2026-04-28T04:39:10.437971+00:00
"Dijual Rumah Baru 3Lt di Tanjung Duren, Uk5.5x10m2, Harga Rp2.8m.",2800000000.0,Jakarta Barat,Tanjung Duren,5,3,1,55,120,2026-04-28T04:39:13.489818+00:00
Dijual Rumah Murah Harga NJOP di Jembatan Dua Jakarta Barat,2700000000.0,Jakarta Barat,Jembatan Dua,3,2,1,150,250,2026-04-28T04:39:16.221365+00:00
"Dijual Rumah Daerah Badila Tangki, Taman Sari, Jakarta Barat",2000000000.0,Jakarta Barat,Mangga Besar,5,4,1,200,200,2026-04-28T04:39:18.390503+00:00
Rumah Hook Dijual di Taman Ratu Cocok untuk Kantor - LT 242M2,5900000000.0,Jakarta Barat,Taman Ratu,4,4,2,242,390,2026-04-28T04:39:22.357823+00:00
Rumah Kos-Kosan di Jl Puri Kencana Kembangan Jakarta Barat,5000000000.0,Jakarta Barat,Kembangan,13,13,,63,220,2026-04-28T04:39:25.011255+00:00
"Rumah Mewah Puri Kembangan 3,5Lt 10,5X20 Semi Furnish Sudah Renov",11000000000.0,Jakarta Barat,Puri Indah,5,4,2,210,470,2026-04-28T04:39:27.508424+00:00
"Dijual Rumah 2 Lantai - Komplek Karmel, Kebon Jeruk Jakarta Barat",7700000000.0,Jakarta Barat,Kemanggisan,5,4,4,420,350,2026-04-28T04:39:31.046374+00:00
"Dijual Perumahan Pakuwon, Jakarta Barat Dibawah N J O P",3900000000.0,Jakarta Barat,Grogol Petamburan,5,4,,221,321,2026-04-28T04:39:34.886665+00:00
"Dijual Rumah Baru 3Lt di Duri Kepa, Uk 4X13m2, Harga Rp 1.9M.",1900000000.0,Jakarta Barat,Duri Kepa,4,4,1,52,120,2026-04-28T04:39:37.565588+00:00
Rumah Hook Baru Renovasi,12500000000.0,Jakarta Barat,Permata Buana,4,3,2,238,300,2026-04-28T04:39:41.244150+00:00
Rumah Mewah Dijual Green Garden Hadap Utara SHM - LT 300M2,9000000000.0,Jakarta Barat,Green garden,4,4,4,300,700,2026-04-28T04:39:44.598035+00:00
"Dijual Murah Rumah 2 LT 8 X 18 M2 di Taman Kencana Cengkareng Ada 3+1 KT 2 KM Semi Furniture, Unlimited, Siap Huni, Ayo Survei & Nego Yuk!!",2350000000.0,Jakarta Barat,Taman Kencana,4,2,2,144,144,2026-04-28T04:39:48.189316+00:00
Rumah Tua Hitung Tanah di Permata Buana Jakarta Barat Nego,5400000000.0,Jakarta Barat,Permata Buana,1,1,,200,200,2026-04-28T04:39:50.649544+00:00
"Kost Murah 24 Kamar di Tanjung Duren Hanya 7,9 M Nego",7900000000.0,Jakarta Barat,Tanjung Duren Utara,24,24,1,111,346,2026-04-28T04:39:54.067239+00:00
Rumah Golf Lake Residence Renov & Semi Furnished (6X15),3500000000.0,Jakarta Barat,Cengkareng,3,3,,90,150,2026-04-28T04:39:56.516746+00:00
Rumah di Taman Meruya Ilir Jakarta Barat SHM,6500000000.0,Jakarta Barat,Taman Meruya,4,3,,240,225,2026-04-28T04:40:02.983202+00:00
Dijual Rumah Baru Camden House Intercon Kebon Jeruk,3900000000.0,Jakarta Barat,Intercon,4,3,3,120,280,2026-04-28T04:40:05.818873+00:00
Rumah Bagus Di Jelambar Jakarta Barat  Dekta Ke Pluit Pik Dan  Toll Dalam Kota,6750000000.0,Jakarta Barat,Grogol Petamburan,5,7,3,308,700,2026-04-28T04:40:09.080083+00:00
"Hanya 600 m ke TRISAKTI Kost Besar 60 Kamar Full Terisi, ROI 9% Akses Jalan 2 Mobil OMSET 1,078 M/THN di Tomang Tawakal, Jakbar Kawasan Dekat Kampus, Perkantoran, Rumah Sakit, Halte Busway",14000000000.0,Jakarta Barat,Tomang,62,60,2,272,1200,2026-04-28T04:40:15.969519+00:00
"Jual Cepat Full Terisi Kost 50 Kamar Eksklusif di Tomangomset 1,2 M/Tahun 2 Menit ke Rscm Usakti",14500000000.0,Jakarta Barat,Tomang,51,48,16,298,650,2026-04-28T04:40:18.472885+00:00
"Super Deal Roi 11%, Lokasi Strategis Depan Binus, Income Tinggi 125-135 Jt/Bulan Kost 46 Kt Full Fasilitas Lokasi Emas Depan Binus Anggrek",13900000000.0,Jakarta Barat,Kemanggisan,46,46,1,268,1000,2026-04-28T04:40:21.120434+00:00
Cozy Home At Kebon Jeruk,18000000000.0,Jakarta Barat,Kebon Jeruk,6,5,5,1077,600,2026-04-28T04:40:24.170398+00:00
"Dijual Rumah Sunrise Garden Murah, Rapi Siap Huni",3100000000.0,Jakarta Barat,Sunrise Garden,5,4,2,130,180,2026-04-28T04:40:27.829980+00:00
"5 Menit ke Kampus, Ful Occupancy, Income 630 Juta/Tahun, Kost 31 Kamar Kamar Mandi Dalam Semua, Fasilitas Kamar Super Lengkap, Bangunan Besar 3½ Lantai, Lokasi Strategis Tinggal, Cocok untuk Pemilik Baru yang Cari Cashflow Aman di Grogol Jakbar",9000000000.0,Jakarta Barat,Grogol,33,31,2,243,600,2026-04-28T04:40:30.800273+00:00
Dijual Rumah Sunrise Garden Mewah 3 Lantai,4900000000.0,Jakarta Barat,Sunrise Garden,5,4,3,105,210,2026-04-28T04:40:33.741823+00:00
Rumah Uk 6X15 di Cluster Asia Green Lake City Termurah,2100000000.0,Jakarta Barat,Green Lake City,3,2,2,90,120,2026-04-28T04:40:36.551781+00:00
Rumah Uk 6X15 di Green Puri Jakarta Barat,1850000000.0,Jakarta Barat,Duri Kosambi,3,3,2,90,120,2026-04-28T04:40:38.982231+00:00
"Dijual Rumah Puri Indah Rapi, Siap Huni..",5900000000.0,Jakarta Barat,Puri Indah,5,4,2,200,300,2026-04-28T04:40:42.344454+00:00
Wen Kirman - Rumah Baru Sunrise Garden Murah,4250000000.0,Jakarta Barat,Sunrise Garden,4,5,2,196,250,2026-04-28T04:40:45.101729+00:00
Rumah Mewah Permata Buana 3 Lantai,10500000000.0,Jakarta Barat,Permata Buana,6,6,3,200,500,2026-04-28T04:40:48.269231+00:00
Di Jual Rumah di Citra Grand Rumah Dalam Keadaan Sangat Baguss,6000000000.0,Jakarta Barat,Citra Garden,5,4,4,273,350,2026-04-28T04:40:51.560293+00:00
Dijual Rumah 2 Lt Siap Huni Di Villa Arteri Area Jakarta Barat,3500000000.0,Jakarta Barat,Kembangan,4,4,1,135,200,2026-04-28T04:40:54.404099+00:00
Rumah Permata Buana Full Furnished Siap Huni Nego,7500000000.0,Jakarta Barat,Permata Buana,5,3,3,200,300,2026-04-28T04:40:57.862984+00:00
"Rumah Tomang Pinggir Jalan, Nego",12500000000.0,Jakarta Barat,Tomang,5,4,2,313,700,2026-04-28T04:41:00.717363+00:00
Rumah Uk 10X21 di Jelambar Jakarta Barat,4700000000.0,Jakarta Barat,Jelambar,4,3,,210,300,2026-04-28T04:41:04.037561+00:00
Dijual Rumah 3 Lantai Siap Huni Di Citra 2 Area Jakarta Barat,5950000000.0,Jakarta Barat,Kebon Jeruk,6,6,2,200,465,2026-04-28T04:41:06.771732+00:00
Rumah Bagus Rapi Semi Furnish 2 Lantai di Duta Mas,3900000000.0,Jakarta Barat,Jelambar,5,5,2,140,259,2026-04-28T04:41:10.141450+00:00
"Rumah Akses Startegis,Rapi,Terawat 2,5 Lantai di Tanjung Duren Jakarta Barat",5300000000.0,Jakarta Barat,Tanjung Duren,5,3,1,195,300,2026-04-28T04:41:17.327547+00:00
Rumah Brand New di Citra Garden 2 Ext Siap Huni SHM,2900000000.0,Jakarta Barat,Citra Garden,3,2,,96,170,2026-04-28T04:41:20.766581+00:00
"Jual Rumah Baru Dekat Neo Soho, Cp, Untar, Trisakti Dll",8000000000.0,Jakarta Barat,Grogol,5,4,1,154,220,2026-04-28T04:41:23.688697+00:00
"Dijual Rumah Bagus 3,5 Lt, Tambora Jak-bar",3800000000.0,Jakarta Barat,Tambora,3,3,2,90,101,2026-04-28T04:41:28.183537+00:00
Rumah Uk 10X25 di Cluster Amerika Latin SHM,6200000000.0,Jakarta Barat,Green Lake City,4,4,,250,280,2026-04-28T04:41:30.452216+00:00
Termurah Rumah Uk 4X12 di Cluster West Erope Green Lake City,1300000000.0,Jakarta Barat,Green Lake City,2,2,,48,70,2026-04-28T04:41:39.668771+00:00
Kebon Jeruk Jakarta. Rumah 2 Lt 3 KT siap huni di Dekat Stasiun Mrt.,2500000000.0,Jakarta Barat,Kebon Jeruk,4,2,2,102,135,2026-04-28T04:41:42.483991+00:00
Golf Lake Residence. Rumah 2 LT Siap Huni Dekat Bandara Soetta.,3200000000.0,Jakarta Barat,Cengkareng,4,4,2,90,124,2026-04-28T04:41:46.485289+00:00
"Dijual Rumah Baru, Cantik Siap Huni Citra 2",3300000000.0,Jakarta Barat,Kalideres,5,4,2,1112,170,2026-04-28T04:41:49.331857+00:00
Kost Baru Area Mangga Besar 20 Kamar Full Siap Transaksi,7000000000.0,Jakarta Barat,Mangga Besar,20,20,,117,351,2026-04-28T04:41:51.856631+00:00
FRANS CEN-Rumah Dijual di Taman Surya 3 Pegadungan – Kalideres.Bagus.murah wow.LT. 90 M2 (6x15),2750000000.0,Jakarta Barat,Taman Palem,3,3,2,90,120,2026-04-28T04:41:54.899338+00:00
"Carport 5 Mobil, Roi Tinggi 10-11%, Kost Exclusive Lux 42+1 Kamar, Cashflow 1,5 M/Tahun 2 Menit Pusat Bisnis Mangga Besar",14700000000.0,Jakarta Barat,Mangga Besar,44,44,27,240,1200,2026-04-28T04:41:57.323295+00:00
"Roi 10-11% Kost Premium Mewah 45+1 Kamar, Omset 2,5 M/Tahun 1 Menit Jln Kaki ke Binus",24200000000.0,Jakarta Barat,Kemanggisan,46,46,21,285,1200,2026-04-28T04:42:00.289515+00:00
Rumah Siap Huni,1600000000.0,Jakarta Barat,Kembangan,5,5,1,199,250,2026-04-28T04:42:02.825420+00:00
Rumah Taman Palem Lestari Murah dan Nyaman,1000000000.0,Jakarta Barat,Kalideres,2,4,1,46,100,2026-04-28T04:42:05.642132+00:00
Dijual Rumah di Slipi Cocok untuk Kost - Kostan,3200000000.0,Jakarta Barat,Kemanggisan,5,4,1,183,300,2026-04-28T04:42:09.553610+00:00
"Rumah Modern, Besar, Furnish Siap Huni",3500000000.0,Jakarta Barat,Kalideres,,6,6,264,384,2026-04-28T04:42:14.190638+00:00
Rumah Baru di Taman Surya Siap Huni,2750000000.0,Jakarta Barat,Kalideres,3,4,,77,196,2026-04-28T04:42:17.541725+00:00
Rumah Patra Duri Kepa Lahan Luas Cocok Untuk Gudang Harga Murah,4000000000.0,Jakarta Barat,Duri Kepa,5,4,4,340,280,2026-04-28T04:42:21.458285+00:00
Rumah Baru Design Modren Minimalis,2250000000.0,Jakarta Barat,Duri Kepa,3,5,1,60,176,2026-04-28T04:42:24.384558+00:00
Rumah Siap Huni 2 1/2 Lantai Duri Kepa Hadap Barat,2800000000.0,Jakarta Barat,Duri Kepa,4,3,2,80,110,2026-04-28T04:42:32.461087+00:00
