title,price_idr,city,district,bedrooms,bathrooms,garage,land_size_m2,building_size_m2,status,loc_id,agent_id
"Rumah Secondary 2,5 Lantai siap huni di Cilangkap - Cipayung",2950000000.0,jakarta timur,cipayung,5.0,3.0,3.0,247.0,350.0,SOLD,loc-202,agent-027
Rumah Brand New 2 Lantai Bagus Lokasi Strategis di Sunter,2600000000.0,jakarta utara,tanjung priok,3.0,3.0,0.0,65.0,120.0,AVAILABLE,loc-506,agent-047
Rumah Murah 2 Lantai di Puri Gardena Jakarta Barat,1450000000.0,jakarta barat,kalideres,2.0,2.0,1.0,89.0,85.0,AVAILABLE,loc-403,agent-003
Rumah Siap Huni 3lt Row 2mobil Duri Kepa Dekat Tanjung Duren Jakarta Barat,1650000000.0,jakarta barat,kebon jeruk,3.0,3.0,1.0,42.0,84.0,AVAILABLE,loc-404,agent-031
Golf Residence Kemayoran Posisi Huk Ada Taman Samping Rumah,5500000000.0,jakarta pusat,kemayoran,3.0,2.0,2.0,198.0,240.0,AVAILABLE,loc-304,agent-038
Rumah Modern Klasik,2700000000.0,jakarta barat,kebon jeruk,4.0,4.0,1.0,75.0,125.0,AVAILABLE,loc-404,agent-023
Rumah Bagus Siap Huni Komplek De Oaze,4200000000.0,jakarta barat,grogol petamburan,4.0,4.0,2.0,86.0,240.0,SOLD,loc-402,agent-047
Dijual Rumah 3 Lantai Mewah Strategis Luas Modern di Jakarta Dekat Sekolah,5400000000.0,jakarta timur,pulo gadung,5.0,5.0,2.0,105.0,180.0,AVAILABLE,loc-210,agent-020
Rumah Mewah 3 Lantai di Puri Indah dengan Swimming Pool Indoor,12000000000.0,jakarta barat,kembangan,4.0,4.0,4.0,140.0,400.0,AVAILABLE,loc-405,agent-023
Rumah 2Lt Siap Huni Bebas Banjir Duri Kepa Dekat Tanjung Duren Jakarta Barat,2450000000.0,jakarta barat,kebon jeruk,4.0,3.0,2.0,130.0,204.0,SOLD,loc-404,agent-020
Hunian Luas Lega 3 Lantai Premium di Jakarta Dekat Sekolah dan Rumah Sakit,5400000000.0,jakarta utara,tanjung priok,5.0,5.0,4.0,105.0,180.0,AVAILABLE,loc-506,agent-041
Prime Location! Rumah Cantik Menteng 375M2 4+2Kt Semi Furnished,22500000000.0,jakarta pusat,menteng,5.0,3.0,3.0,300.0,375.0,AVAILABLE,loc-305,agent-020
Rumah Baru Hadap Danau Dengan Lift Jacuzzi Dan Sauna,17000000000.0,jakarta barat,kalideres,8.0,5.0,5.0,210.0,450.0,AVAILABLE,loc-403,agent-028
"Rumah Butuh Renovasi Total Semi Furnished SHM Kayu Putih, Jakarta Timur",1250000000.0,jakarta timur,pulo gadung,3.0,2.0,2.0,72.0,72.0,SOLD,loc-210,agent-037
"Dijual Rumah di Pondok Labu Jakarta Selatan , Harga Dibawah Njop",8000000000.0,jakarta selatan,cilandak,4.0,3.0,3.0,550.0,350.0,AVAILABLE,loc-101,agent-020
Dijual Rumah Mewah dengan Pool Posisi Hook Lokas Strategis di Segitiga Emas Jakarta Selatan,40000000000.0,jakarta selatan,setiabudi,11.0,11.0,4.0,604.0,800.0,AVAILABLE,loc-109,agent-004
DIJUAL RUMAH TUA DI SALEMBA RAYA Jakarta Pusat,53000000000.0,jakarta pusat,senen,5.0,5.0,0.0,1494.0,965.0,AVAILABLE,loc-307,agent-013
Rumah Brand New 2 Lantai Start 900Jt-An Neora @Metland Menteng Cakung,900000000.0,jakarta timur,cakung,2.0,2.0,1.0,55.0,54.0,AVAILABLE,loc-201,agent-008
Rumah Modern Minimalis 3 Lantai di Jelambar Jalan Cukup Besar,3500000000.0,jakarta barat,grogol petamburan,3.0,4.0,1.0,74.0,142.0,SOLD,loc-402,agent-006
Murah 1Lt Siap Huni Aman Banjir Dekat Sektor 1 Bintaro,1700000000.0,jakarta selatan,pesanggrahan,4.0,2.0,1.0,109.0,109.0,AVAILABLE,loc-108,agent-021
"Rumah Mewah Pembawa Hokky, 3 Lantai Didalam Cluster Favorit",27500000000.0,jakarta barat,kembangan,6.0,6.0,6.0,407.0,1000.0,AVAILABLE,loc-405,agent-037
Rumah 2 Lantai di Mega Kuningan Jakarta Selatan Dekat Pusat Kota,64000000000.0,jakarta selatan,setiabudi,5.0,3.0,6.0,800.0,650.0,AVAILABLE,loc-109,agent-026
"Dijual Cepat Rumah Full Furnished Siap Huni di Perumahan Permata Mediterania Amethyst, Joglo Jakarta Barat",6500000000.0,jakarta barat,kembangan,4.0,4.0,3.0,162.0,248.0,AVAILABLE,loc-405,agent-035
Rumah Murah Siap Huni Batu Jaya Town House Condet Jakarta Timur,2500000000.0,jakarta timur,kramat jati,4.0,4.0,1.0,120.0,100.0,AVAILABLE,loc-206,agent-027
Rumah Murahmangga Besar Pinggir Jalan Raya,4500000000.0,jakarta barat,taman sari,6.0,4.0,2.0,225.0,225.0,AVAILABLE,loc-407,agent-050
"Rumah Lama, Hitung Tanah Dekat Panglima Polim, Jaksel",5400000000.0,jakarta selatan,kebayoran baru,12.0,4.0,2.0,209.0,250.0,SOLD,loc-103,agent-020
Murah Jual Cepat Rumah Siap Huni 3 Lantai di Kelapa Gading Barat,3300000000.0,jakarta utara,kelapa gading,6.0,5.0,2.0,102.0,102.0,SOLD,loc-502,agent-007
Jual Cepat Rumah 3 Lantai Full Furnished Di Cluster Semayang Asya Dekat Aeon Mall Jakarta Garden City,2900000000.0,jakarta timur,cakung,3.0,3.0,2.0,98.0,115.0,AVAILABLE,loc-201,agent-021
Dijual Cepat Rumah di Jalan Tirtayasa Kebayoran Baru Jakarta Selatan,47000000000.0,jakarta selatan,kebayoran baru,7.0,5.0,6.0,615.0,654.0,AVAILABLE,loc-103,agent-015
"Rumah Kesehatan Cideng, Kompleks Aman, Bebas Banjir,Dekat Mall Gi",20000000000.0,jakarta pusat,gambir,6.0,6.0,4.0,450.0,600.0,SOLD,loc-302,agent-031
Rumah Bendungan Hilir Jakarta Pusat,6600000000.0,jakarta pusat,tanah abang,4.0,4.0,2.0,175.0,250.0,SOLD,loc-308,agent-029
Dijual Rumah Mewah Area Bukit Golf Pondok Indah,110000000000.0,jakarta selatan,kebayoran lama,9.0,7.0,10.0,1300.0,1000.0,AVAILABLE,loc-104,agent-018
"Rumah Springhill Residence Palmhill Kemayoran, Jakarta Pusat",7000000000.0,jakarta pusat,kemayoran,4.0,4.0,3.0,120.0,480.0,AVAILABLE,loc-304,agent-029
Rumah 3 Lantai Harga Menarik di Pondok Indah Jakarta Selatan,9000000000.0,jakarta selatan,kebayoran lama,4.0,3.0,5.0,200.0,450.0,AVAILABLE,loc-104,agent-032
Rumah Pinggir Jalan Puri Indah Kembangan Jakarta Barat,9200000000.0,jakarta barat,kembangan,6.0,4.0,4.0,336.0,320.0,AVAILABLE,loc-405,agent-012
Dijual Rumah Terawat 2 Lantai di Cempaka Putih Jakarta Pusat,3900000000.0,jakarta pusat,cempaka putih,4.0,3.0,0.0,226.0,250.0,SOLD,loc-301,agent-029
"Rumah Bagus Minimalis 2 Lantai, Selesai Renov Kelapa Gading",7000000000.0,jakarta utara,kelapa gading,3.0,3.0,2.0,200.0,375.0,AVAILABLE,loc-502,agent-038
Dijual rumah bagus sangat layak huni di kelapa gading - Jkt Ut,4200000000.0,jakarta utara,kelapa gading,8.0,6.0,2.0,108.0,120.0,AVAILABLE,loc-502,agent-001
Dijual Harga Nego Rumah 4.5 Tingkat ( 5x15 ) Teluk Gong - Penjaringan,2700000000.0,jakarta utara,penjaringan,5.0,4.0,2.0,75.0,198.0,AVAILABLE,loc-505,agent-038
Rumah Murah Lokasi Mewah Under 600 Juta Dicempaka Putih Jakarta,475000000.0,jakarta pusat,cempaka putih,2.0,2.0,0.0,21.0,36.0,AVAILABLE,loc-301,agent-047
"Rumah 3.5 Lantai Sunter 93m², Jalan Lebar",3200000000.0,jakarta utara,tanjung priok,4.0,3.0,1.0,93.0,240.0,SOLD,loc-506,agent-005
Rumah Dijual Siap Huni,4250000000.0,jakarta utara,penjaringan,4.0,3.0,1.0,175.0,200.0,AVAILABLE,loc-505,agent-032
Harus Terjual!! Rumah Minimalis Modern 3. Lantai Siap Huni Pondok Bambu Duren Sawit,2600000000.0,jakarta timur,duren sawit,4.0,3.0,2.0,100.0,209.0,AVAILABLE,loc-204,agent-045
Hunian Mewah 3 Lantai dan 5 Bedroom Dijual Dalam Kondisi Baru di Jakarta Timur,5400000000.0,jakarta timur,duren sawit,5.0,5.0,4.0,105.0,180.0,SOLD,loc-204,agent-045
"Rumah Dijual 2 Lantai Billy Moon, Pondok Kelapa, Jakarta Timur",2500000000.0,jakarta timur,duren sawit,4.0,4.0,1.0,117.0,113.0,AVAILABLE,loc-204,agent-041
"Murah,Rumah Tua Terawat Super Strategis Cempaka Putih Jakpus",2500000000.0,jakarta pusat,cempaka putih,2.0,3.0,0.0,205.0,200.0,AVAILABLE,loc-301,agent-030
"Cipete- Rumah Dlm Komplek, Sgt Strategis, One Gate, 400 M Akses Mrt@ Lokasi Tenang",5800000000.0,jakarta selatan,cilandak,4.0,2.0,1.0,255.0,150.0,AVAILABLE,loc-101,agent-020
"Rumah 2 Lantai di Cluster North Mississippi, Jakarta Garden City Siap Huni",1700000000.0,jakarta timur,cakung,4.0,4.0,2.0,90.0,95.0,AVAILABLE,loc-201,agent-025
Dijual Town House Springhill Kemayoran 4lantai vr923,7500000000.0,jakarta pusat,kemayoran,6.0,4.0,2.0,180.0,385.0,AVAILABLE,loc-304,agent-024
"Rumah Mewah 2 Lantai Fully Furnished di Kelapa Gading Sedayu City, 8X12,5M2, 100M2 Siap Huni!",5270000000.0,jakarta utara,kelapa gading,4.0,2.0,0.0,100.0,142.0,AVAILABLE,loc-502,agent-049
"Rumah Baru di Lokasi Strategis, Tanjung Duren Jakarta Barat",2900000000.0,jakarta barat,grogol petamburan,3.0,3.0,1.0,90.0,195.0,AVAILABLE,loc-402,agent-035
"Rumah Bagus di Jl. Lebak Bulus, Cilandak, Jakarta Selatan",11500000000.0,jakarta selatan,cilandak,6.0,4.0,4.0,498.0,350.0,SOLD,loc-101,agent-050
Di Jual Rumah Bagus Lokasi Strategis,1800000000.0,jakarta barat,kalideres,3.0,2.0,1.0,90.0,150.0,AVAILABLE,loc-403,agent-025
Bisa KPR Rumah Pik2 6X10 Balcony (2+1 Kamar Tidur),1600000000.0,jakarta utara,penjaringan,3.0,2.0,2.0,60.0,84.0,AVAILABLE,loc-505,agent-011
"Jual Murah....Diskon Abis..Bu....Rumah 3 Lantai 4 Kamar Hanya 2,65M di Sunter Danau Indah",2650000000.0,jakarta utara,tanjung priok,4.0,3.0,2.0,98.0,121.0,AVAILABLE,loc-506,agent-022
Rumah Garden House 8X17 Sudah Renov Minimalis Bagus,5900000000.0,jakarta utara,penjaringan,3.0,3.0,1.0,136.0,176.0,SOLD,loc-505,agent-031
Rumah Muara Karang Ada Kolam Renang Full Furnish Bagus Banget,6500000000.0,jakarta utara,penjaringan,3.0,4.0,4.0,150.0,360.0,AVAILABLE,loc-505,agent-045
"Layar Permai, Pik1,.2 LT, Hadap Selatan Luas 77M2",2950000000.0,jakarta utara,penjaringan,3.0,3.0,1.0,77.0,100.0,SOLD,loc-505,agent-045
"Dijual Cepat - Rumah 2 Lantai di Jagakarsa Harga 1,7M",1700000000.0,jakarta selatan,jagakarsa,4.0,4.0,1.0,126.0,200.0,AVAILABLE,loc-102,agent-049
"Rumah 2 Lantai di Green Lake City, Uk 8X15, Cluster West Europe, Semi Furnished",3250000000.0,jakarta barat,cengkareng,5.0,5.0,2.0,120.0,180.0,AVAILABLE,loc-401,agent-030
Dijual Rumah Asri Siap Huni Kramat Jati Jakarta Timur,16500000000.0,jakarta timur,kramat jati,6.0,5.0,6.0,1195.0,452.0,SOLD,loc-206,agent-037
Dijual Rumah Kebayoran Baru Jakarta Selatan,10000000000.0,jakarta selatan,kebayoran baru,5.0,4.0,2.0,298.0,350.0,SOLD,loc-103,agent-017
Rumah Hitung Tanah Luas 496m Strategis 100m Ke Jl Raya Tmii Di Ceger,4800000000.0,jakarta timur,cipayung,6.0,3.0,4.0,496.0,200.0,SOLD,loc-202,agent-033
Rumah 2 Lantai Sunrise Garden Lokasi Tenang Dan Homey - LT 238m2,5600000000.0,jakarta barat,grogol petamburan,5.0,4.0,2.0,238.0,350.0,AVAILABLE,loc-402,agent-007
"Dekat Akses Tol, Rumah, 3 Lantai, SHM, Dekat Akses MRT, Bebas Banjir,",19500000000.0,jakarta pusat,johar baru,11.0,9.0,9.0,910.0,2000.0,AVAILABLE,loc-303,agent-042
Rumah Murah 2 Lantai Harga di Bawah 1 M Masih Nego Siap Huni Bebas Banjir di Taman Palem Lestari,980000000.0,jakarta barat,cengkareng,3.0,1.0,1.0,46.0,70.0,AVAILABLE,loc-401,agent-045
Dijual Cepat Rumah 1 Lantai Siap Huni di Citragran Cibubur,1700000000.0,jakarta timur,ciracas,2.0,1.0,1.0,90.0,60.0,AVAILABLE,loc-203,agent-047
Turun Harga Rumah Mewah Bagus Terawat di Patra Kuningan Jakarta Selatan,55000000000.0,jakarta selatan,setiabudi,8.0,7.0,5.0,713.0,699.0,AVAILABLE,loc-109,agent-021
Rumah Brand New 3 Lantai di Kayu Putih Jakarta Timur S6491,3650000000.0,jakarta timur,pulo gadung,4.0,4.0,0.0,96.0,220.0,AVAILABLE,loc-210,agent-010
Rumah Mewah Pik Lotus Palace Harga Murah Siap Huni,37900000000.0,jakarta utara,penjaringan,5.0,8.0,7.0,522.0,1000.0,AVAILABLE,loc-505,agent-004
Rumah Strategis Dekat Mall Central Park Pusat Kota,8600000000.0,jakarta pusat,gambir,5.0,3.0,2.0,223.0,372.0,AVAILABLE,loc-302,agent-005
